2929830, 1027330, 3012570, 1140150, 1124100, 1152260
2224210, 967710, 1149320, 1154750, 1128530, 2903910
3198700, 1033800, 3064380, 1127210, 1120430, 3098540
1170500, 1084980, 3073800, 1132890, 1422410, 1130320
1182950, 957880, 1164010, 2193280, 1132260, 1168390
1201190, 2124490, 1154680, 3218180, 1153300, 6624260
1185330, 1022290, 2373230, 1187760, 1118770, 1122660
1196320, 955180, 1139080, 2230070, 1285850, 2165410
2298560, 998670, 2242430, 1291810, 1122660, 2306870
2441530, 1009740, 1167450, 2347090, 1135520, 1193640
1299250, 957530, 1138080, 3073310, 2955600, 1133060
1308360, 957610, 1293870, 1127050, 1248110, 1140220
2145400, 964800, 2130260, 1263800, 1209840, 2968030
1315050, 1068680, 3138990, 1161540, 1137180, 2319810
1181040, 1132280, 2957580, 1134580, 1278850, 2222550
1182260, 1014070, 2272960, 1282130, 1166590, 2978410
3332500, 1051570, 2977360, 1128870, 2339470, 1144220
1211400, 1018280, 2344870, 1148770, 1183150, 2298300
1190490, 1018930, 2385110, 1159020, 3115170, 1308220
1187870, 2800350, 1124640, 1140450, 2309340, 2173080
1335010, 1017590, 1145880, 2208780, 1361720, 2946940
3260310, 1048430, 1175110, 2989160, 1146120, 2899490
1184520, 1085490, 3048830, 1147760, 1185800, 1266610
1195600, 2689250, 1170950, 1413500, 1140300, 1131470
2286910, 1010800, 1135610, 1162910, 1172080, 3096050
1175150, 1076900, 27773940, 1168940, 1138500, 2370540
1206700, 2903310, 1147840, 1247680, 1128660, 1154400
2294700, 1002560, 2060790, 1152680, 2990400, 1129280
1336530, 2974380, 2920740, 1134680, 1138930, 1281540
1180300, 958210, 1140360, 2392450, 1167840, 1136390
1194830, 2146230, 1162120, 2984560, 1141880, 1151570
1208840, 2771420, 1146470, 2360350, 1163410, 2081960
2334850, 1124760, 2294130, 2199370, 1148840, 3007890
2275070, 1003870, 1134070, 1152810, 3217050, 1160120
1195570, 961810, 1146350, 1154190, 2270640, 1131950
1193780, 2206730, 1178990, 1148450, 2353290, 1157410
2275690, 1004020, 2246640, 1259190, 2220900, 1271080
1211610, 2230850, 2201760, 1145050, 3046300, 1153600
1215120, 966540, 1143800, 3209600, 1132150, 2962090
1190420, 1085350, 1243140, 1150860, 2178460, 1159800
1206140, 1814370, 1156620, 3106820, 3028010, 1182240
1198080, 2193120, 1147630, 2234800, 1145060, 1128070
1175120, 3021820, 1170030, 3116920, 1128080, 1156980
1197210, 1085620, 2972380, 1220010, 2123500, 1262930
3089850, 1159500, 3056070, 3000310, 1146070, 1252490
3370040, 1060340, 1138970, 1125240, 1140330, 1165700
1187170, 974300, 1152480, 3019540, 1144460, 2321520
2505360, 1016000, 1144780, 2206900, 1150550, 1181110
1179010, 1195580, 2991830, 1265660, 1153430, 1253340
1203180, 1085610, 3311440, 1141620, 1142700, 1125090
2218270, 997820, 2192350, 1141260, 1189480, 3102210
1190020, 1078480, 3197040, 1177330, 1151760, 2255960
1195840, 957550, 1134580, 1134520, 1152080, 1158490
3050400, 1048000, 1147910, 27594970, 1153840, 2216210
2391080, 994940, 2954860, 1147750, 1126490, 1134110
1221090, 957650, 3229510, 1224230, 3030190, 3756730
3620760, 2962770, 1166300, 1156890, 1161790, 2935470
3090730, 1057830, 1154720, 1261170, 1134680, 1136340
1326430, 963620, 1152610, 2285690, 2400730, 1214200
1188890, 2896420, 1131720, 1181630, 1128760, 1146340
1184560, 960750, 2904740, 1140370, 1141980, 1149250
1187590, 954420, 1131630, 2453440, 2170920, 1160860
1216370, 2099670, 1165870, 1142650, 3136490, 3085870
2927550, 1145840, 3009120, 1261580, 1133530, 1160890
2338310, 1000980, 2352950, 1179400, 1134220, 1149220
1203950, 956040, 1127750, 1266460, 1172160, 2895440
1189270, 2910720, 3014910, 3042380, 1136750, 1277910
1178110, 27072170, 1147480, 1266880, 1152290, 2217490
1340610, 1020650, 1135660, 1143720, 1187260, 3030940
1183660, 1073350, 1178890, 1155590, 3144300, 1144480
1256860, 1119800, 1139540, 1148180, 2172900, 1134650
1186180, 969180, 1162650, 2942310, 1146530, 1139080
3040560, 1057860, 2961020, 1134600, 1258900, 1152830
1188360, 2917850, 1132470, 2886840, 1133980, 2228940
2478200, 995140, 1208160, 1255240, 3191720, 1131310
1187850, 1068450, 3075400, 1132490, 1145290, 1136750
1186370, 953380, 1135340, 1147670, 1134600, 2287140
1207020, 966040, 1144150, 2297340, 2362730, 2191200
1321430, 2165170, 1135740, 2907930, 1269760, 1133000
2323060, 1007260, 1403360, 1130370, 2296180, 2151380
1205610, 1031520, 1143830, 1159800, 2309510, 1139140
1196580, 2160610, 1167540, 3078500, 1149180, 1256990
3047890, 974040, 2665440, 1414720, 1242470, 1157930
2222450, 967400, 1132450, 1158540, 1141680, 1156450
1207270, 956040, 1169450, 1163910, 1130530, 1190490
3131600, 1043720, 3043340, 1136990, 1156260, 1146450
1210920, 1025050, 1159420, 1285180, 2288420, 2366760
1209470, 2682260, 2815790, 2905440, 1161200, 1140710
1196340, 2154280, 1159620, 2919500, 1127120, 2287530
1197100, 964520, 1150330, 2282690, 2800010, 1152150
1177610, 2871850, 1131470, 3009260, 1143390, 2278200
2422780, 1021710, 3046380, 1138120, 1235020, 1136030
1183610, 2824090, 1147300, 1137370, 2240630, 1165510
